                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.01746,                      1,                      1,                0.31885,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01361,                      1,                      1,                0.31409,              0.0002404,              0.0002404,              0.0002404
                     70,                0.05938,                      1,                      1,                0.31506,             0.00023334,             0.00023334,             0.00023334
                     71,                0.02165,                      1,                      1,                0.31494,             0.00022627,             0.00022627,             0.00022627
                     72,                0.02417,                      1,                      1,                0.31689,              0.0002192,              0.0002192,              0.0002192
                     73,                0.04373,                      1,                      1,                0.32031,             0.00021213,             0.00021213,             0.00021213
                     74,                0.01031,                      1,                      1,                0.31604,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01563,                      1,                      1,                0.32043,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.0178,                      1,                      1,                0.31506,             0.00019092,             0.00019092,             0.00019092
                     77,                0.01093,                      1,                      1,                0.31421,             0.00018385,             0.00018385,             0.00018385
                     78,                0.01662,                      1,                      1,                0.31396,             0.00017679,             0.00017679,             0.00017679
                     79,                0.01237,                      1,                      1,                0.31372,             0.00016972,             0.00016972,             0.00016972
                     80,                0.01197,                      1,                      1,                0.31384,             0.00016265,             0.00016265,             0.00016265
                     81,                 0.0175,                      1,                      1,                0.31396,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00895,                      1,                      1,                0.31482,             0.00014851,             0.00014851,             0.00014851
                     83,                0.04024,                      1,                      1,                 0.3147,             0.00014144,             0.00014144,             0.00014144
                     84,                0.01858,                      1,                      1,                0.31519,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00559,                      1,                      1,                0.31445,             0.00012731,             0.00012731,             0.00012731
                     86,                0.01127,                      1,                      1,                0.31677,             0.00012024,             0.00012024,             0.00012024
                     87,                0.01451,                      1,                      1,                0.31494,             0.00011317,             0.00011317,             0.00011317
                     88,                0.02946,                      1,                      1,                0.31421,              0.0001061,              0.0001061,              0.0001061
                     89,                 0.0111,                      1,                      1,                0.31384,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01525,                      1,                      1,                0.31433,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.01098,                      1,                      1,                0.31494,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.01899,                      1,                      1,                0.31421,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.02022,                      1,                      1,                0.31433,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 0.0129,                      1,                      1,                0.31555,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00961,                      1,                      1,                0.31543,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.01884,                      1,                      1,                0.31494,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 0.0064,                      1,                      1,                0.31738,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00686,                      1,                      1,                0.31494,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.01021,                      1,                      1,                0.31458,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.02118,                      1,                      1,                0.31506,             2.1277e-05,             2.1277e-05,             2.1277e-05
